km_driven,mileage,age,Petrol,Diesel,Electric,fuel_type
15000,18.2,7,1,0,0,Petrol
10000,17.4,8,1,0,0,Petrol
36000,20.14,5,0,1,0,Diesel
9000,26.82,5,0,1,0,Diesel
70000,28.4,8,0,1,0,Diesel
49364,25.8,10,0,1,0,Diesel
110000,17.0,17,1,0,0,Petrol
72312,24.3,6,0,1,0,Diesel
39000,25.1,9,0,1,0,Diesel
47000,20.14,8,0,1,0,Diesel
50000,28.4,5,0,1,0,Diesel
70000,26.59,7,0,1,0,Diesel
6000,17.9,7,0,1,0,Diesel
120000,13.1,15,0,1,0,Diesel
90000,12.12,10,0,1,0,Diesel
80002,11.5,9,0,1,0,Diesel
56000,18.9,6,1,0,0,Petrol
66032,17.0,8,1,0,0,Petrol
200000,14.0,12,1,0,0,Petrol
25000,13.4,12,1,0,0,Petrol
80000,18.6,8,1,0,0,Petrol
80000,17.3,16,0,0,0,Petrol
63500,15.6,13,1,0,0,Petrol
68200,21.66,7,0,1,0,Diesel
53800,19.34,9,1,0,0,Petrol
60000,17.97,8,1,0,0,Petrol
60000,13.2,11,0,0,0,Petrol
45000,14.8,13,1,0,0,Petrol
20000,21.4,5,1,0,0,Petrol
12000,23.01,6,1,0,0,Petrol
10000,20.73,5,1,0,0,Petrol
110000,10.9,14,0,0,0,Petrol
100000,11.3,19,1,0,0,Petrol
44400,20.36,13,1,0,0,Petrol
146000,20.45,9,0,1,0,Diesel
160000,12.99,10,0,1,0,Diesel
10000,23.01,4,1,0,0,Petrol
35000,24.7,6,1,0,0,Petrol
10000,19.2,16,0,1,0,Diesel
35000,18.6,6,1,0,0,Petrol
60000,21.03,11,0,1,0,Diesel
140000,11.5,12,0,1,0,Diesel
25000,23.0,6,0,1,0,Diesel
75000,13.8,17,1,0,0,Petrol
13500,17.5,4,1,0,0,Petrol
61300,15.5,12,1,0,0,Petrol
100930,15.04,6,0,1,0,Diesel
91000,22.54,7,0,1,0,Diesel
85000,22.9,11,0,1,0,Diesel
47000,21.1,10,1,0,0,Petrol
36000,20.73,5,1,0,0,Petrol
110000,23.5,10,0,1,0,Diesel
120000,17.0,13,1,0,0,Petrol
110000,16.1,13,1,0,0,Petrol
47665,22.77,6,0,1,0,Diesel
65180,15.06,9,0,1,0,Diesel
10000,20.3,4,1,0,0,Petrol
54000,22.32,11,0,1,0,Diesel
30000,17.8,8,1,0,0,Petrol
35000,15.9,18,1,0,0,Petrol
123652,15.7,14,0,1,0,Diesel
48000,15.6,11,1,0,0,Petrol
24525,24.3,5,0,1,0,Diesel
49000,18.7,7,1,0,0,Petrol
50000,17.1,5,0,1,0,Diesel
154667,17.2,13,0,1,0,Diesel
40000,17.0,5,1,0,0,Petrol
48003,12.8,13,1,0,0,Petrol
50000,18.0,11,1,0,0,Petrol
18000,17.21,5,1,0,0,Petrol
90000,13.5,9,0,1,0,Diesel
55000,26.0,9,0,1,0,Diesel
38000,25.4,6,0,1,0,Diesel
47876,25.0,10,0,1,0,Diesel
65000,25.32,7,0,1,0,Diesel
10000,15.8,5,1,0,0,Petrol
